facility_id,facility_name,facility_type,subtype,fuel,status,latitude,longitude,location_accuracy,state,capacity,capacity_unit,n_units,area_km2,onshore_offshore,operator,source_tracker
L100000401458,Pragati Combined Cycle power plant,oil_gas_power_plant,,fossil gas: natural gas,operating,28.6146,77.2528,exact,Delhi,330.4,MW,1,,,,GEM GOGPT (Global Oil and Gas Plant Tracker (GOGPT) - August 2026.xlsx)
L100000401459,Pragati Combined Cycle Gas Turbine-III power station,oil_gas_power_plant,,fossil gas: natural gas,operating,28.7962571,77.0709926,exact,Delhi,1500.0,MW,2,,,,GEM GOGPT (Global Oil and Gas Plant Tracker (GOGPT) - August 2026.xlsx)
L100000401461,Dholpur Combined Cycle power plant,oil_gas_power_plant,,fossil gas: natural gas,operating,26.701839,77.847933,exact,Rajasthan,330.0,MW,1,,,,GEM GOGPT (Global Oil and Gas Plant Tracker (GOGPT) - August 2026.xlsx)
L100000401462,Ramgarh Combined Cycle power plant,oil_gas_power_plant,,"fossil gas: natural gas, fossil liquids: diesel",operating,27.337693,70.525314,exact,Rajasthan,270.5,MW,1,,,,GEM GOGPT (Global Oil and Gas Plant Tracker (GOGPT) - August 2026.xlsx)
L100000401463,Faridabad Combined Cycle power plant,oil_gas_power_plant,,"fossil gas: natural gas, fossil liquids: naphtha, fossil liquids: diesel",operating,28.34652,77.359003,exact,Haryana,431.6,MW,1,,,,GEM GOGPT (Global Oil and Gas Plant Tracker (GOGPT) - August 2026.xlsx)
L100000401464,Anta power plant,oil_gas_power_plant,,fossil gas: natural gas,operating,25.1797,76.3188,exact,Rajasthan,419.3,MW,1,,,,GEM GOGPT (Global Oil and Gas Plant Tracker (GOGPT) - August 2026.xlsx)
L100000401465,Dadri Combined Cycle power plant,oil_gas_power_plant,,"fossil gas: natural gas, fossil liquids: diesel",operating,28.5932,77.6101,exact,Uttar Pradesh,829.8,MW,1,,,,GEM GOGPT (Global Oil and Gas Plant Tracker (GOGPT) - August 2026.xlsx)
L100000401466,Auraiya Combined Cycle power plant,oil_gas_power_plant,,fossil gas: natural gas,operating,26.6282,79.5286,exact,Uttar Pradesh,663.0,MW,1,,,,GEM GOGPT (Global Oil and Gas Plant Tracker (GOGPT) - August 2026.xlsx)
L100000401467,Hazira (GSEG) power station,oil_gas_power_plant,,fossil gas: natural gas,operating,21.1652,72.6613,exact,Gujarat,507.0,MW,2,,,,GEM GOGPT (Global Oil and Gas Plant Tracker (GOGPT) - August 2026.xlsx)
L100000401469,Pipavav Combined Cycle power plant,oil_gas_power_plant,,fossil gas: natural gas,operating,20.8986,71.46926,exact,Gujarat,702.0,MW,2,,,,GEM GOGPT (Global Oil and Gas Plant Tracker (GOGPT) - August 2026.xlsx)
L100000401471,Dhuvaran Combined Cycle power plant,oil_gas_power_plant,,"fossil gas: natural gas, fossil gas: LNG",operating,22.2396,72.752,exact,Gujarat,594.0,MW,3,,,,GEM GOGPT (Global Oil and Gas Plant Tracker (GOGPT) - August 2026.xlsx)
L100000401474,Utran Combined Cycle power plant,oil_gas_power_plant,,fossil gas: natural gas,operating,21.2285,72.8705,exact,Gujarat,374.0,MW,1,,,,GEM GOGPT (Global Oil and Gas Plant Tracker (GOGPT) - August 2026.xlsx)
L100000401475,Sugen Combined Cycle power plant,oil_gas_power_plant,,fossil gas: natural gas,operating,21.3395,72.9889,exact,Gujarat,1149.0,MW,3,,,,GEM GOGPT (Global Oil and Gas Plant Tracker (GOGPT) - August 2026.xlsx)
L100000401478,Unosugen Combined Cycle power plant,oil_gas_power_plant,,fossil gas: natural gas,operating,21.3413,72.989,exact,Gujarat,383.0,MW,1,,,,GEM GOGPT (Global Oil and Gas Plant Tracker (GOGPT) - August 2026.xlsx)
