sample_id,latitude,longitude,acq_date,dnbr_informative,status,nbr_before,date_before,nbr_after,date_after,days_before,days_after,dnbr,burn_evidence,nbr_before_p50,nbr_after_p10,dnbr_p10,n_clear_scenes
G001,22.31713,69.89003,2026-01-26,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G002,22.36714,70.25137,2026-01-09,True,ok,0.0862,2026-01-04,0.0858,2026-01-09,5.0,0.0,0.0003,no burn detected,0.0758,0.0215,0.0543,13.0
G003,22.31444,69.85438,2025-11-22,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G004,22.34372,69.88132,2026-02-07,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G005,21.92793,70.46581,2026-03-03,True,ok,0.2243,2026-02-28,0.1613,2026-03-05,3.0,2.0,0.0631,no burn detected,0.1877,-0.0442,0.2319,11.0
G006,22.34177,69.8708,2026-01-06,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G007,22.15561,70.09414,2026-05-27,True,ok,-0.0975,2026-05-14,-0.0199,2026-05-29,13.0,2.0,-0.0775,no burn detected,-0.1011,-0.1065,0.0054,7.0
G008,22.15387,70.28717,2026-03-26,True,ok,-0.0371,2026-03-25,-0.0188,2026-04-09,1.0,14.0,-0.0183,no burn detected,-0.0431,-0.0652,0.0221,11.0
G009,22.32233,69.89138,2026-01-26,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G010,22.41152,70.40148,2026-05-21,True,ok,0.0998,2026-05-14,0.0686,2026-05-24,7.0,3.0,0.0312,no burn detected,0.0789,-0.0554,0.1343,10.0
G011,22.31476,69.85809,2025-10-08,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G012,22.06637,70.04933,2026-06-26,True,no clear scene after detection,,,,,,,,,,,,3.0
G013,22.25265,70.0542,2026-02-20,True,ok,-0.0355,2026-02-18,-0.0634,2026-02-23,2.0,3.0,0.0279,no burn detected,-0.0654,-0.1669,0.1015,11.0
G014,22.33554,69.86747,2026-06-15,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G015,22.12752,70.09223,2026-03-03,True,ok,0.0019,2026-02-28,-0.0312,2026-03-05,3.0,2.0,0.033,no burn detected,0.0025,-0.0629,0.0654,12.0
G016,22.312,70.23502,2025-11-15,True,ok,0.2028,2025-11-10,0.1827,2025-11-15,5.0,0.0,0.0201,no burn detected,0.2157,-0.0588,0.2745,12.0
G017,22.32316,69.87891,2026-06-09,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G018,22.33573,69.85371,2025-09-26,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G019,22.59157,70.23817,2026-02-27,True,ok,0.1884,2026-02-23,0.1671,2026-02-28,4.0,1.0,0.0213,no burn detected,0.1484,-0.0031,0.1516,11.0
G020,22.22098,70.46474,2025-12-17,True,ok,0.3143,2025-12-15,0.3332,2025-12-20,2.0,3.0,-0.0188,no burn detected,0.3292,-0.0241,0.3533,14.0
G021,22.43564,69.88201,2026-02-06,True,ok,0.0937,2026-02-03,0.1004,2026-02-08,3.0,2.0,-0.0067,no burn detected,0.0623,-0.0315,0.0938,11.0
G022,22.33927,69.85349,2025-10-21,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G023,22.32138,69.88783,2026-06-09,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G024,22.32905,69.74001,2026-05-14,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
