sample_id,label
G001,gas flare
G002,unknown
G003,industrial
G004,industrial
G005,agricultural burning
G006,gas flare
G007,wildfire
G008,unknown
G009,gas flare
G010,wildfire
G011,gas flare
G012,wildfire
G013,agricultural burning
G014,unknown
G015,wildfire
G016,wildfire
G017,gas flare
G018,gas flare
G019,unknown
G020,agricultural burning
G021,unknown
G022,gas flare
G023,gas flare
G024,industrial
G025,agricultural burning
G026,unknown
G027,gas flare
G028,gas flare
G029,wildfire
G030,unknown
G031,unknown
G032,agricultural burning
G033,gas flare
G034,gas flare
G035,agricultural burning
G036,unknown
G037,gas flare
G038,industrial
G039,unknown
G040,industrial
G041,wildfire
G042,agricultural burning
G043,agricultural burning
G044,gas flare
G045,industrial
G046,unknown
G047,gas flare
G048,gas flare
G049,wildfire
G050,wildfire
G051,gas flare
G052,wildfire
G053,agricultural burning
G054,gas flare
G055,wildfire
G056,industrial
G057,wildfire
G058,wildfire
G059,unknown
G060,wildfire
G061,gas flare
G062,agricultural burning
G063,unknown
G064,agricultural burning
G065,unknown
G066,agricultural burning
G067,wildfire
G068,wildfire
G069,unknown
G070,gas flare
G071,industrial
G072,industrial
G073,unknown
G074,industrial
G075,unknown
G076,gas flare
G077,wildfire
G078,wildfire
G079,agricultural burning
G080,wildfire
G081,industrial
G082,unknown
G083,gas flare
G084,industrial
G085,wildfire
G086,gas flare
G087,wildfire
G088,agricultural burning
G089,unknown
G090,unknown
G091,industrial
G092,agricultural burning
G093,unknown
G094,agricultural burning
G095,wildfire
G096,agricultural burning
G097,industrial
G098,unknown
G099,agricultural burning
G100,unknown
G101,industrial
G102,agricultural burning
G103,wildfire
G104,industrial
G105,agricultural burning
G106,industrial
G107,wildfire
G108,gas flare
G109,agricultural burning
G110,agricultural burning
G111,unknown
G112,wildfire
G113,agricultural burning
G114,gas flare
G115,agricultural burning
G116,unknown
G117,industrial
G118,industrial
G119,agricultural burning
G120,unknown
G121,industrial
G122,gas flare
G123,industrial
G124,industrial
G125,industrial
G126,agricultural burning
G127,agricultural burning
G128,gas flare
G129,wildfire
G130,industrial
G131,wildfire
G132,industrial
G133,gas flare
G134,unknown
G135,industrial
G136,gas flare
G137,unknown
G138,wildfire
G139,wildfire
G140,wildfire
G141,industrial
G142,agricultural burning
G143,gas flare
G144,agricultural burning
G145,industrial
G146,industrial
G147,industrial
G148,unknown
G149,unknown
G150,agricultural burning
