sample_id,latitude,longitude,acq_date,acq_time,acq_time_ist,maps_link,verified_label,structure_seen,confidence
G001,22.31713,69.89003,2026-01-26,2143,03:13,"https://www.google.com/maps?q=22.31713,69.89003&t=k",,,
G002,22.36714,70.25137,2026-01-09,904,14:34,"https://www.google.com/maps?q=22.36714,70.25137&t=k",,,
G003,22.31444,69.85438,2025-11-22,752,13:22,"https://www.google.com/maps?q=22.31444,69.85438&t=k",,,
G004,22.34372,69.88132,2026-02-07,850,14:20,"https://www.google.com/maps?q=22.34372,69.88132&t=k",,,
G005,21.92793,70.46581,2026-03-03,800,13:30,"https://www.google.com/maps?q=21.92793,70.46581&t=k",,,
G006,22.34177,69.8708,2026-01-06,910,14:40,"https://www.google.com/maps?q=22.34177,69.8708&t=k",,,
G007,22.15561,70.09414,2026-05-27,915,14:45,"https://www.google.com/maps?q=22.15561,70.09414&t=k",,,
G008,22.15387,70.28717,2026-03-26,910,14:40,"https://www.google.com/maps?q=22.15387,70.28717&t=k",,,
G009,22.32233,69.89138,2026-01-26,2143,03:13,"https://www.google.com/maps?q=22.32233,69.89138&t=k",,,
G010,22.41152,70.40148,2026-05-21,840,14:10,"https://www.google.com/maps?q=22.41152,70.40148&t=k",,,
G011,22.31476,69.85809,2025-10-08,2036,02:06,"https://www.google.com/maps?q=22.31476,69.85809&t=k",,,
G012,22.06637,70.04933,2026-06-26,813,13:43,"https://www.google.com/maps?q=22.06637,70.04933&t=k",,,
G013,22.25265,70.0542,2026-02-20,827,13:57,"https://www.google.com/maps?q=22.25265,70.0542&t=k",,,
G014,22.33554,69.86747,2026-06-15,2123,02:53,"https://www.google.com/maps?q=22.33554,69.86747&t=k",,,
G015,22.12752,70.09223,2026-03-03,911,14:41,"https://www.google.com/maps?q=22.12752,70.09223&t=k",,,
G016,22.312,70.23502,2025-11-15,823,13:53,"https://www.google.com/maps?q=22.312,70.23502&t=k",,,
G017,22.32316,69.87891,2026-06-09,2136,03:06,"https://www.google.com/maps?q=22.32316,69.87891&t=k",,,
G018,22.33573,69.85371,2025-09-26,2059,02:29,"https://www.google.com/maps?q=22.33573,69.85371&t=k",,,
G019,22.59157,70.23817,2026-02-27,845,14:15,"https://www.google.com/maps?q=22.59157,70.23817&t=k",,,
G020,22.22098,70.46474,2025-12-17,824,13:54,"https://www.google.com/maps?q=22.22098,70.46474&t=k",,,
G021,22.43564,69.88201,2026-02-06,839,14:09,"https://www.google.com/maps?q=22.43564,69.88201&t=k",,,
G022,22.33927,69.85349,2025-10-21,2200,03:30,"https://www.google.com/maps?q=22.33927,69.85349&t=k",,,
G023,22.32138,69.88783,2026-06-09,2136,03:06,"https://www.google.com/maps?q=22.32138,69.88783&t=k",,,
G024,22.32905,69.74001,2026-05-14,2140,03:10,"https://www.google.com/maps?q=22.32905,69.74001&t=k",,,
G025,22.12,69.92731,2026-03-27,820,13:50,"https://www.google.com/maps?q=22.12,69.92731&t=k",,,
G026,22.34407,69.86377,2026-01-11,2145,03:15,"https://www.google.com/maps?q=22.34407,69.86377&t=k",,,
G027,22.31731,69.87669,2026-02-05,2016,01:46,"https://www.google.com/maps?q=22.31731,69.87669&t=k",,,
G028,22.32104,69.88033,2026-06-09,2153,03:23,"https://www.google.com/maps?q=22.32104,69.88033&t=k",,,
G029,22.31838,70.31145,2026-03-05,903,14:33,"https://www.google.com/maps?q=22.31838,70.31145&t=k",,,
G030,22.59546,70.2315,2026-06-07,2051,02:21,"https://www.google.com/maps?q=22.59546,70.2315&t=k",,,
G031,22.3327,69.72951,2026-05-27,2004,01:34,"https://www.google.com/maps?q=22.3327,69.72951&t=k",,,
G032,22.24974,69.71995,2026-03-25,748,13:18,"https://www.google.com/maps?q=22.24974,69.71995&t=k",,,
G033,22.31588,69.86317,2025-11-09,2125,02:55,"https://www.google.com/maps?q=22.31588,69.86317&t=k",,,
G034,22.3368,69.86858,2026-02-24,2100,02:30,"https://www.google.com/maps?q=22.3368,69.86858&t=k",,,
G035,22.42898,70.23678,2026-04-05,923,14:53,"https://www.google.com/maps?q=22.42898,70.23678&t=k",,,
G036,21.91585,70.11295,2026-06-14,837,14:07,"https://www.google.com/maps?q=21.91585,70.11295&t=k",,,
G037,22.33073,69.73573,2026-06-12,809,13:39,"https://www.google.com/maps?q=22.33073,69.73573&t=k",,,
G038,22.42926,69.83208,2026-02-20,2004,01:34,"https://www.google.com/maps?q=22.42926,69.83208&t=k",,,
G039,22.72149,70.45384,2026-03-26,910,14:40,"https://www.google.com/maps?q=22.72149,70.45384&t=k",,,
G040,22.31242,69.71295,2026-05-22,2032,02:02,"https://www.google.com/maps?q=22.31242,69.71295&t=k",,,
G041,22.17675,70.07123,2026-04-10,809,13:39,"https://www.google.com/maps?q=22.17675,70.07123&t=k",,,
G042,22.11675,70.24767,2026-06-22,841,14:11,"https://www.google.com/maps?q=22.11675,70.24767&t=k",,,
G043,22.36123,70.26644,2026-04-04,909,14:39,"https://www.google.com/maps?q=22.36123,70.26644&t=k",,,
G044,22.31917,69.88369,2026-06-09,2059,02:29,"https://www.google.com/maps?q=22.31917,69.88369&t=k",,,
G045,22.43302,69.83074,2025-11-19,2138,03:08,"https://www.google.com/maps?q=22.43302,69.83074&t=k",,,
G046,22.32892,69.85715,2025-10-24,2104,02:34,"https://www.google.com/maps?q=22.32892,69.85715&t=k",,,
G047,22.33028,69.73499,2026-05-12,2037,02:07,"https://www.google.com/maps?q=22.33028,69.73499&t=k",,,
G048,22.34067,69.86626,2026-02-25,2152,03:22,"https://www.google.com/maps?q=22.34067,69.86626&t=k",,,
G049,22.05005,70.21863,2026-03-26,930,15:00,"https://www.google.com/maps?q=22.05005,70.21863&t=k",,,
G050,22.10944,70.34908,2026-01-27,856,14:26,"https://www.google.com/maps?q=22.10944,70.34908&t=k",,,
G051,22.32051,69.87783,2026-02-05,747,13:17,"https://www.google.com/maps?q=22.32051,69.87783&t=k",,,
G052,22.1686,70.20069,2026-05-03,918,14:48,"https://www.google.com/maps?q=22.1686,70.20069&t=k",,,
G053,22.64691,70.29453,2026-03-23,846,14:16,"https://www.google.com/maps?q=22.64691,70.29453&t=k",,,
G054,22.33918,69.85636,2025-12-19,2155,03:25,"https://www.google.com/maps?q=22.33918,69.85636&t=k",,,
G055,22.02218,70.19625,2026-03-17,859,14:29,"https://www.google.com/maps?q=22.02218,70.19625&t=k",,,
G056,22.33135,69.74274,2026-05-12,2159,03:29,"https://www.google.com/maps?q=22.33135,69.74274&t=k",,,
G057,22.17598,70.06715,2026-04-10,809,13:39,"https://www.google.com/maps?q=22.17598,70.06715&t=k",,,
G058,22.45597,70.15071,2026-03-22,844,14:14,"https://www.google.com/maps?q=22.45597,70.15071&t=k",,,
G059,22.59416,70.23096,2026-01-15,852,14:22,"https://www.google.com/maps?q=22.59416,70.23096&t=k",,,
G060,22.17165,70.20148,2026-05-03,918,14:48,"https://www.google.com/maps?q=22.17165,70.20148&t=k",,,
G061,22.31598,69.86102,2025-09-11,2109,02:39,"https://www.google.com/maps?q=22.31598,69.86102&t=k",,,
G062,22.46847,70.13194,2026-03-31,916,14:46,"https://www.google.com/maps?q=22.46847,70.13194&t=k",,,
G063,22.40389,69.85317,2026-03-16,826,13:56,"https://www.google.com/maps?q=22.40389,69.85317&t=k",,,
G064,22.44207,70.23757,2026-03-21,903,14:33,"https://www.google.com/maps?q=22.44207,70.23757&t=k",,,
G065,22.33744,69.71162,2026-04-05,852,14:22,"https://www.google.com/maps?q=22.33744,69.71162&t=k",,,
G066,22.60403,70.33356,2026-03-25,929,14:59,"https://www.google.com/maps?q=22.60403,70.33356&t=k",,,
G067,22.44609,70.0156,2026-01-21,909,14:39,"https://www.google.com/maps?q=22.44609,70.0156&t=k",,,
G068,22.42524,70.24261,2026-03-31,736,13:06,"https://www.google.com/maps?q=22.42524,70.24261&t=k",,,
G069,22.57525,70.22787,2026-02-24,2100,02:30,"https://www.google.com/maps?q=22.57525,70.22787&t=k",,,
G070,22.31703,69.88058,2026-01-18,2025,01:55,"https://www.google.com/maps?q=22.31703,69.88058&t=k",,,
G071,22.33829,69.85821,2026-01-31,2009,01:39,"https://www.google.com/maps?q=22.33829,69.85821&t=k",,,
G072,22.3361,69.85615,2026-01-28,2106,02:36,"https://www.google.com/maps?q=22.3361,69.85615&t=k",,,
G073,22.29212,69.70356,2026-03-21,924,14:54,"https://www.google.com/maps?q=22.29212,69.70356&t=k",,,
G074,22.32906,69.7291,2026-05-16,741,13:11,"https://www.google.com/maps?q=22.32906,69.7291&t=k",,,
G075,22.29254,69.70918,2026-03-21,924,14:54,"https://www.google.com/maps?q=22.29254,69.70918&t=k",,,
G076,22.31652,69.85732,2025-11-22,2041,02:11,"https://www.google.com/maps?q=22.31652,69.85732&t=k",,,
G077,22.16738,69.71375,2026-03-24,827,13:57,"https://www.google.com/maps?q=22.16738,69.71375&t=k",,,
G078,22.36245,70.18057,2026-01-16,923,14:53,"https://www.google.com/maps?q=22.36245,70.18057&t=k",,,
G079,22.29027,70.19534,2026-03-22,905,14:35,"https://www.google.com/maps?q=22.29027,70.19534&t=k",,,
G080,22.15993,69.69999,2026-04-29,853,14:23,"https://www.google.com/maps?q=22.15993,69.69999&t=k",,,
G081,22.34405,69.86052,2026-02-17,2011,01:41,"https://www.google.com/maps?q=22.34405,69.86052&t=k",,,
G082,22.34049,69.85591,2026-06-06,2110,02:40,"https://www.google.com/maps?q=22.34049,69.85591&t=k",,,
