alert_id,alert_type,latitude,longitude,acq_date,acq_time,satellite,daynight,label,frp,site_normal_frp,frp_vs_normal,prior_active_days,facility_type,facility_name,facility_distance_m,active_days_30d,recurrence_count,first_seen,event_count,dominant_class,maps_link
new_activity_at_critical_site|22.36764|73.12083|2026-09-23|2150|N,new_activity_at_critical_site,22.36764,73.12083,2026-09-23,2150,N,N,industrial,2.3,,,14.0,refinery · OSM,Gujarat Refinery,0.0,,1.0,2026-09-23,,,"https://www.google.com/maps?q=22.36764,73.12083&t=k"
new_activity_at_critical_site|22.36439|73.12109|2026-09-23|2150|N,new_activity_at_critical_site,22.36439,73.12109,2026-09-23,2150,N,N,industrial,4.07,,,43.0,refinery · OSM,Gujarat Refinery,0.0,,1.0,2026-09-23,,,"https://www.google.com/maps?q=22.36439,73.12109&t=k"
new_activity_at_critical_site|22.36144|73.11910|2026-09-23|2150|N,new_activity_at_critical_site,22.36144,73.1191,2026-09-23,2150,N,N,unknown,2.3,,,10.0,refinery · OSM,Gujarat Refinery,281.0,,1.0,2026-09-23,,,"https://www.google.com/maps?q=22.36144,73.1191&t=k"
new_activity_at_critical_site|22.36418|73.11755|2026-09-23|2114|N21,new_activity_at_critical_site,22.36418,73.11755,2026-09-23,2114,N21,N,unknown,8.91,,,84.0,refinery · OSM,Gujarat Refinery,67.0,,1.0,2026-09-23,,,"https://www.google.com/maps?q=22.36418,73.11755&t=k"
new_activity_at_critical_site|22.31483|69.85460|2026-09-23|2027|N20,new_activity_at_critical_site,22.31483,69.8546,2026-09-23,2027,N20,N,industrial,0.33,,,,refinery · OSM,Reliance Refinery,0.0,,1.0,2026-09-23,,,"https://www.google.com/maps?q=22.31483,69.8546&t=k"
new_activity_at_critical_site|22.36667|73.11252|2026-09-23|2027|N20,new_activity_at_critical_site,22.36667,73.11252,2026-09-23,2027,N20,N,unknown,2.22,,,80.0,refinery · OSM,Gujarat Refinery,32.0,,1.0,2026-09-23,,,"https://www.google.com/maps?q=22.36667,73.11252&t=k"
new_activity_at_critical_site|22.31400|69.86107|2026-09-22|2208|N,new_activity_at_critical_site,22.314,69.86107,2026-09-22,2208,N,N,industrial,0.7,,,7.0,refinery · OSM,Reliance Refinery,0.0,,1.0,2026-09-22,,,"https://www.google.com/maps?q=22.314,69.86107&t=k"
new_activity_at_critical_site|22.31283|69.86509|2026-09-22|2208|N,new_activity_at_critical_site,22.31283,69.86509,2026-09-22,2208,N,N,industrial,1.04,,,,refinery · OSM,Reliance Refinery,0.0,,1.0,2026-09-22,,,"https://www.google.com/maps?q=22.31283,69.86509&t=k"
industrial_anomaly|26.63930|79.47697|2026-09-22|1949|N21,industrial_anomaly,26.6393,79.47697,2026-09-22,1949,N21,N,industrial,5.18,1.22,4.25,105.0,OSM industrial=yes,,0.0,,8.0,2026-06-24,,,"https://www.google.com/maps?q=26.6393,79.47697&t=k"
new_activity_at_critical_site|8.83440|78.08942|2026-09-22|0816|N20,new_activity_at_critical_site,8.8344,78.08942,2026-09-22,0816,N20,D,unknown,7.17,,,,power plant (coal) · OSM,unnamed,1573.0,,1.0,2026-09-22,,,"https://www.google.com/maps?q=8.8344,78.08942&t=k"
new_unmapped_source|2531|22931,new_unmapped_source,8.6058,77.96548,2026-09-22,0756,N,D,wildfire,16.02,,,,,,,5.0,5.0,2026-09-01,,,"https://www.google.com/maps?q=8.6058,77.96548&t=k"
new_unmapped_source|8338|22715,new_unmapped_source,28.34821,77.23076,2026-09-21,2104,N20,N,agricultural burning,1.8,,,,,,,5.0,6.0,2025-09-14,,,"https://www.google.com/maps?q=28.34821,77.23076&t=k"
new_activity_at_critical_site|22.31075|69.71478|2026-09-21|2049|N,new_activity_at_critical_site,22.31075,69.71478,2026-09-21,2049,N,N,industrial,1.05,,,,power plant (coal) · OSM,Essar Power,0.0,,1.0,2026-09-21,,,"https://www.google.com/maps?q=22.31075,69.71478&t=k"
industrial_anomaly|21.23955|81.38660|2026-09-21|2010|N21,industrial_anomaly,21.23955,81.3866,2026-09-21,2010,N21,N,industrial,1.88,0.86,2.2,50.0,OSM industrial=factory,,0.0,,1.0,2026-09-21,,,"https://www.google.com/maps?q=21.23955,81.3866&t=k"
industrial_anomaly|21.34204|81.67223|2026-09-21|2010|N21,industrial_anomaly,21.34204,81.67223,2026-09-21,2010,N21,N,industrial,2.83,0.84,3.37,105.0,OSM industrial=yes,,0.0,,4.0,2026-07-30,,,"https://www.google.com/maps?q=21.34204,81.67223&t=k"
industrial_anomaly|23.48737|87.36256|2026-09-21|1925|N20,industrial_anomaly,23.48737,87.36256,2026-09-21,1925,N20,N,industrial,4.3,1.34,3.21,53.0,OSM industrial=yes,,0.0,,2.0,2026-09-17,,,"https://www.google.com/maps?q=23.48737,87.36256&t=k"
new_activity_at_critical_site|21.20082|81.41054|2026-09-21|1925|N20,new_activity_at_critical_site,21.20082,81.41054,2026-09-21,1925,N20,N,industrial,2.77,,,,power plant (coal) · OSM,Bhilai 500 MW Expansion Power Project,1469.0,,1.0,2026-09-21,,,"https://www.google.com/maps?q=21.20082,81.41054&t=k"
industrial_anomaly|21.10358|72.63866|2026-09-21|0818|N,industrial_anomaly,21.10358,72.63866,2026-09-21,0818,N,D,industrial,37.18,9.72,3.83,212.0,OSM industrial=yes,,0.0,,35.0,2026-06-23,,,"https://www.google.com/maps?q=21.10358,72.63866&t=k"
